docID,url
ug7v899j,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC35282/
02tnwd4m,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59543/
ejv2xln0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59549/
2b73a28n,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59574/
9785vg6d,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59580/
zjufx4fo,http://europepmc.org/articles/pmc125340?pdf=render
ymceytj3,http://europepmc.org/articles/pmc125375?pdf=render
wzj2glte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC125543/
2sfqsfm1,http://europepmc.org/articles/pmc126080?pdf=render
i0zym7iq,http://europepmc.org/articles/pmc136939?pdf=render
5yhe786e,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC137267/
8zchiykl,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC137274/
xqhn0vbp,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC140314/
gi6uaa83,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC156578/
0m32ecnu,http://europepmc.org/articles/pmc169038?pdf=render
le0ogx1s,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC193621/
8qnrcgnk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC193681/
3oxzzxnd,http://europepmc.org/articles/pmc204495?pdf=render
fy4w7xz8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC212558/
jg13scgo,https://academic.oup.com/jamia/article-pdf/10/5/399/2352016/10-5-399.pdf
0qaoam29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC222908/
qj4dh6rg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC222911/
1wswi7us,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC222961/
yy96yeu9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC261870/
5o38ihe0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC280685/
1ul8owic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC293432/
5s6acr7m,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC300679/
5tkvsudh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC302018/
6lvn10f4,http://europepmc.org/articles/pmc302072?pdf=render
tvxpckxo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC302190/
mcuixluu,http://europepmc.org/articles/pmc306617?pdf=render
6iu1dtyl,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC340389/
