2015,5tkvsudh,1
2014,5tkvsudh,1
2013,5tkvsudh,1
2012,5tkvsudh,1
2011,5tkvsudh,1
2010,5tkvsudh,1
2004,5tkvsudh,1
2006,5tkvsudh,1
2002,5tkvsudh,2
2000,5tkvsudh,1
2001,5tkvsudh,1
2003,5tkvsudh,2
2009,5tkvsudh,2
2005,5tkvsudh,1
2007,5tkvsudh,1
2008,5tkvsudh,1
2041,6lvn10f4,1
2040,6lvn10f4,1
2039,6lvn10f4,1
2038,6lvn10f4,1
2037,6lvn10f4,1
2035,6lvn10f4,2
2020,6lvn10f4,2
2019,6lvn10f4,1
2018,6lvn10f4,1
2017,6lvn10f4,1
2021,6lvn10f4,1
2026,6lvn10f4,1
2029,6lvn10f4,1
2033,6lvn10f4,1
2016,6lvn10f4,9
2042,6lvn10f4,1
2036,6lvn10f4,1
2025,6lvn10f4,1
2023,6lvn10f4,1
2024,6lvn10f4,1
2027,6lvn10f4,4
2028,6lvn10f4,1
2022,6lvn10f4,1
2030,6lvn10f4,1
2031,6lvn10f4,1
2032,6lvn10f4,1
2034,6lvn10f4,1
2061,tvxpckxo,1
2060,tvxpckxo,1
2058,tvxpckxo,1
2056,tvxpckxo,1
2055,tvxpckxo,1
2043,tvxpckxo,1
2057,tvxpckxo,1
2051,tvxpckxo,1
2021,tvxpckxo,1
2059,tvxpckxo,1
2046,tvxpckxo,1
2047,tvxpckxo,1
2048,tvxpckxo,1
2050,tvxpckxo,1
2053,tvxpckxo,2
2045,tvxpckxo,1
2052,tvxpckxo,1
2044,tvxpckxo,1
2049,tvxpckxo,1
2054,tvxpckxo,1
2092,mcuixluu,1
2091,mcuixluu,1
2090,mcuixluu,1
2089,mcuixluu,1
2004,mcuixluu,1
2087,mcuixluu,1
2086,mcuixluu,1
2085,mcuixluu,1
2084,mcuixluu,1
2083,mcuixluu,1
2063,mcuixluu,1
2082,mcuixluu,1
2062,mcuixluu,2
2088,mcuixluu,1
2064,mcuixluu,1
2069,mcuixluu,1
2065,mcuixluu,1
2073,mcuixluu,1
2067,mcuixluu,1
2008,mcuixluu,1
2068,mcuixluu,1
2070,mcuixluu,2
2078,mcuixluu,1
2079,mcuixluu,1
2071,mcuixluu,3
2066,mcuixluu,1
2072,mcuixluu,1
2074,mcuixluu,1
2075,mcuixluu,1
2077,mcuixluu,1
2022,mcuixluu,1
2081,mcuixluu,1
2076,mcuixluu,1
2080,mcuixluu,1
2183,ri5v6u4x,1
2182,ri5v6u4x,1
2181,ri5v6u4x,1
2180,ri5v6u4x,1
2179,ri5v6u4x,1
2178,ri5v6u4x,1
2177,ri5v6u4x,1
2176,ri5v6u4x,1
2174,ri5v6u4x,1
2173,ri5v6u4x,1
2172,ri5v6u4x,1
2171,ri5v6u4x,1
2170,ri5v6u4x,1
2168,ri5v6u4x,1
2167,ri5v6u4x,1
2166,ri5v6u4x,1
2164,ri5v6u4x,1
2163,ri5v6u4x,1
2162,ri5v6u4x,1
2161,ri5v6u4x,2
2160,ri5v6u4x,1
2159,ri5v6u4x,1
2158,ri5v6u4x,1
2157,ri5v6u4x,1
2113,ri5v6u4x,1
2114,ri5v6u4x,1
2107,ri5v6u4x,1
2117,ri5v6u4x,1
2121,ri5v6u4x,1
2047,ri5v6u4x,1
2106,ri5v6u4x,3
2122,ri5v6u4x,1
2120,ri5v6u4x,1
2105,ri5v6u4x,2
2102,ri5v6u4x,1
2109,ri5v6u4x,1
2097,ri5v6u4x,2
2096,ri5v6u4x,3
2111,ri5v6u4x,1
2104,ri5v6u4x,1
2146,ri5v6u4x,1
2101,ri5v6u4x,1
2108,ri5v6u4x,1
2095,ri5v6u4x,3
2115,ri5v6u4x,1
2110,ri5v6u4x,1
2082,ri5v6u4x,1
2098,ri5v6u4x,2
2112,ri5v6u4x,1
2099,ri5v6u4x,1
2100,ri5v6u4x,1
2093,ri5v6u4x,10
2139,ri5v6u4x,1
2094,ri5v6u4x,1
2103,ri5v6u4x,1
2116,ri5v6u4x,1
2125,ri5v6u4x,1
2118,ri5v6u4x,1
2119,ri5v6u4x,1
2123,ri5v6u4x,2
2124,ri5v6u4x,1
2126,ri5v6u4x,1
2137,ri5v6u4x,1
2127,ri5v6u4x,1
2128,ri5v6u4x,1
2142,ri5v6u4x,1
2129,ri5v6u4x,1
2130,ri5v6u4x,1
2131,ri5v6u4x,1
2132,ri5v6u4x,1
2133,ri5v6u4x,1
2134,ri5v6u4x,1
2135,ri5v6u4x,1
2136,ri5v6u4x,1
2138,ri5v6u4x,1
2140,ri5v6u4x,1
2141,ri5v6u4x,1
2143,ri5v6u4x,1
2144,ri5v6u4x,1
2175,ri5v6u4x,1
2150,ri5v6u4x,2
2165,ri5v6u4x,1
2145,ri5v6u4x,1
2169,ri5v6u4x,1
2147,ri5v6u4x,1
2148,ri5v6u4x,1
2149,ri5v6u4x,3
2151,ri5v6u4x,1
